"product_id","license_plate","car_year","car_brand","car_model","car_type","car_transmission","car_engine_size","car_color","inspection_score","agent_id","branch_id","buy_date","buy_price","admin_fee","aging_fee","sell_date","sell_price"
133126,265,2015,TOYOTA,ALL NEW AVANZA VELOZ,VVT-I,MT,"1.5",Hitam,102,109618,289,2022-08-09,15788.0,266.0,0.0,2022-08-16,16053.0
134207,2396,2007,HONDA,NEW CR-V,"4 X 2",AT,"2.4",Hitam,103,53630,94,2022-08-15,11375.0,250.0,312.0,2022-09-18,11938.0
127971,4926,2015,SUZUKI,KARIMUN WAGON R,GL,MT,"1.0",Silver,107,18827,397,2022-08-20,6288.0,250.0,0.0,2022-08-20,6538.0
126434,678,2014,DAIHATSU,AYLA,M SPORTY,MT,"1.0",Hitam,107,19174,93,2022-07-28,9412.0,250.0,0.0,2022-07-30,9662.0
128325,1908,2017,SUZUKI,NEW ERTIGA,GX,MT,"1.4",Putih,107,28462,19,2022-08-14,15375.0,250.0,0.0,2022-08-14,15625.0
139652,2589,2015,NISSAN,GRAND LIVINA,XV,AT,"1.8",Hitam,107,141921,307,2022-08-28,13125.0,250.0,0.0,2022-08-28,13375.0
136202,6594,2017,TOYOTA,GRAND NEW AVANZA,E,MT,"1.3",SILVER METALIK,107,74826,138,2022-08-31,15375.0,250.0,0.0,2022-09-02,15625.0
126784,2515,2012,MITSUBISHI,PAJERO,DAKAR 4X2,AT,"2.5",Hitam,107,1939,49,2022-08-06,28788.0,438.0,188.0,2022-08-30,29412.0
133349,3650,1992,SUZUKI,CARRY,ST100,MT,"1.0",Hijau Metalik,107,133811,386,2022-08-26,1250.0,250.0,0.0,2022-08-26,1500.0
137026,6423,2013,DAIHATSU,ALL NEW XENIA,"R DELUXE 1,3",MT,"1.3",ABU ABU METALIK,107,138387,269,2022-09-03,13125.0,250.0,0.0,2022-09-09,13375.0
128073,3715,2002,TOYOTA,LX,"1.8 MT BENSIN",MT,"1.8",BIRU METALIK,105,26984,378,2022-08-10,3750.0,250.0,0.0,2022-08-10,4000.0
134087,5329,2012,SUZUKI,ERTIGA,GL,MT,"1.4",MERAH METALIK,107,136017,137,2022-08-05,12125.0,250.0,125.0,2022-08-21,12500.0
141986,7825,1994,DAIHATSU,FEROZA,"2 WD",MT,"1.6",BIRU METALIK,107,54022,102,2022-09-01,4375.0,250.0,0.0,2022-09-01,4625.0
135276,6589,2021,DAIHATSU,AYLA,M SPORTY,MT,"1.0",Silver Metalic,107,135216,269,2022-08-07,13312.0,250.0,625.0,2022-10-05,11250.0
135937,4442,2020,TOYOTA,ALL NEW AVANZA VELOZ,VVT-I,AT,"1.5",Putih,107,47715,127,2022-08-16,25000.0,344.0,0.0,2022-08-18,25344.0
137386,5022,2013,TOYOTA,NEW AVANZA,Veloz,AT,"1.5",Putih,107,70311,416,2022-08-14,12500.0,250.0,0.0,2022-08-14,12750.0
137511,4150,2018,MITSUBISHI,FE 74 HDV,FE 74HDV MT SOLAR,MT,"3.9",KUNING KOMBINASI,87,80251,151,2022-08-31,36875.0,531.0,0.0,2022-09-13,37406.0
134765,1014,2004,HONDA,STREAM,STREAM S7A 2.0 AT,AT,"2.0",Abu-abu,107,17597,94,2022-08-11,7562.0,250.0,0.0,2022-08-20,7812.0
138389,3004,2019,TOYOTA,CALYA,G,AT,"1.2",Silver,107,2818,12,2022-08-12,15000.0,250.0,0.0,2022-08-29,15250.0
139719,5316,2013,DAIHATSU,AYLA,M,MT,"1.0",SILVER METALIK,107,93370,97,2022-08-11,5625.0,250.0,0.0,2022-08-11,5875.0
135502,6086,2011,SUZUKI,SWIFT,GT 3,MT,"1.5",Putih,107,114084,116,2022-08-06,13250.0,250.0,250.0,2022-09-04,13125.0
138466,6868,1991,SUZUKI,PICK UP,ST 100 SUPER CARRY,MT,"1.0",Merah,107,18092,97,2022-08-26,1500.0,250.0,0.0,2022-08-26,1750.0
135820,7592,2020,DAIHATSU,SIGRA,R,MT,"1.2",Hitam,107,5921,65,2022-08-28,14750.0,250.0,0.0,2022-08-30,15000.0
138880,3431,2005,MITSUBISHI,FE 334 LT,Truck,MT,"13.0",Kuning,106,127747,384,2022-09-01,10000.0,250.0,0.0,2022-09-01,10250.0
141979,6914,2016,HONDA,MOBILIO,S DD4,MT,"1.5",Hitam,107,5222,293,2022-08-17,12500.0,250.0,0.0,2022-08-25,12750.0
142363,7315,2016,HONDA,HRV,S CVT,AT,"1.5",PUTIH ORCHID,107,113668,265,2022-08-25,17538.0,266.0,0.0,2022-08-26,17803.0
137117,7693,2011,TOYOTA,NEW INNOVA,G,AT,"2.0",ABU ABU METALIK,107,1418,91,2022-08-12,15125.0,250.0,0.0,2022-08-12,15375.0
127968,5446,2009,TOYOTA,INNOVA,G Diesel,MT,"2.5",SILVER METALIK,101,117507,361,2022-08-02,12500.0,250.0,500.0,2022-09-21,13250.0
139319,3643,2013,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",HITAM METALIK,100,2928,21,2022-08-11,15000.0,250.0,0.0,2022-08-11,15250.0
138344,1413,2012,DAIHATSU,TERIOS,TX,MT,"1.5",HITAM METALIK,107,135652,372,2022-08-11,13750.0,250.0,0.0,2022-08-11,14000.0
140612,7868,2015,SUZUKI,APV,DLX GC415V,MT,"1.5",ABU ABU METALIK,99,95524,85,2022-08-15,10625.0,250.0,0.0,2022-08-20,10875.0
